D,P,stone_dens,cluster_area,n_ants,cluster_dens,distance,cumulative,timepoints,ID,colony
0.066666667,0,0,1.926381806,-0.544719907,0.031309619,39.73948177,0.066666667,15,R54.1,R54
0.6,0.066666667,0.026299721,1.926381806,-0.544719907,0.031309619,27.77315527,0.666666667,15,R54.2,R54
0.2,0.066666667,0.007305478,1.926381806,-0.544719907,0.031309619,24.97826079,0.266666667,15,R54.3,R54
0,0,0,1.92943868,-2.600907189,0.021142481,28.01155515,0,15,R34.1,R34
0.066666667,0,0,1.92943868,-2.600907189,0.021142481,23.8517295,0.066666667,15,R34.2,R34
0.066666667,0,0,1.92943868,-2.600907189,0.021142481,34.95806239,0.066666667,15,R34.3,R34
0,0,0,1.38942125,-0.851605519,0.021882027,36.59214151,0,15,R29.1,R29
0.133333333,0,0.003939686,1.38942125,-0.851605519,0.021882027,21.84160632,0.133333333,15,R29.2,R29
0,0.066666667,0.015758744,1.38942125,-0.851605519,0.021882027,42.45812778,0.066666667,15,R29.3,R29
0.133333333,0,0.003767986,1.594082443,-2.172709375,0.017031906,23.09174414,0.133333333,15,R05.1,R05
0,0,0,1.594082443,-2.172709375,0.017031906,25.03720021,0,15,R05.2,R05
0.2,0,0.007535971,1.594082443,-2.172709375,0.017031906,24.11832527,0.2,15,R05.3,R05
0,0,0,-0.495007179,-0.463863046,0.034086761,40.63739685,0,30,R54.1,R54
1.666666667,0.4,0.130320301,-0.495007179,-0.463863046,0.034086761,27.19202315,2.066666667,30,R54.2,R54
0,0,0.014610956,-0.495007179,-0.463863046,0.034086761,24.15567522,0,30,R54.3,R54
0,0,0,1.857280289,-1.386444931,0.024148268,28.81849674,0,30,R34.1,R34
0.2,0.133333333,0.015240763,1.857280289,-1.386444931,0.024148268,24.82438336,0.333333333,30,R34.2,R34
0.2,0.133333333,0.015240763,1.857280289,-1.386444931,0.024148268,34.00628855,0.333333333,30,R34.3,R34
0.066666667,0,0,1.941417562,-0.183679622,0.022329192,37.67244073,0.066666667,30,R29.1,R29
0.133333333,0,0.019698431,1.941417562,-0.183679622,0.022329192,20.74363392,0.133333333,30,R29.2,R29
0.066666667,0,0.007879372,1.941417562,-0.183679622,0.022329192,43.05092501,0.066666667,30,R29.3,R29
0.866666667,0.266666667,0.06073106,1.903551424,-1.418199367,0.018247424,22.70834353,1.133333333,30,R05.1,R05
0.066666667,0.133333333,0.005023981,1.903551424,-1.418199367,0.018247424,25.35883108,0.2,30,R05.2,R05
0.2,0.133333333,0.030143884,1.903551424,-1.418199367,0.018247424,23.86545278,0.333333333,30,R05.3,R05
0,0,0,-1.554516142,-1.353288519,0.033822425,41.05075661,0,45,R54.1,R54
2.266666667,1.2,0.273533955,-1.554516142,-1.353288519,0.033822425,26.74961982,3.466666667,45,R54.2,R54
0.333333333,0.133333333,0.019829155,-1.554516142,-1.353288519,0.033822425,23.87096226,0.466666667,45,R54.3,R54
0,0,0,0.705311624,-0.672055367,0.026795735,28.50193202,0,45,R34.1,R34
